Ticker,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
MU,2019-06-25,0.79,1.05,33.01
MU,2019-09-26,0.48,0.56,15.55
MU,2019-12-18,0.47,0.48,1.55
MU,2020-03-25,0.37,0.45,21.41
MU,2020-06-29,0.76,0.82,7.45
MU,2020-09-29,0.97,1.08,10.9
MU,2021-01-07,0.69,0.78,12.96
MU,2021-03-31,0.95,0.98,3.68
MU,2021-06-30,1.72,1.88,9.15
MU,2021-09-28,2.34,2.42,3.35
MU,2021-12-20,2.11,2.16,2.58
MU,2022-03-29,1.98,2.14,8.07
MU,2022-06-30,2.44,2.59,5.96
MU,2022-09-29,1.37,1.45,5.82
MU,2022-12-21,-0.02,-0.04,-114.02
MU,2023-03-28,-0.88,-1.91,-115.83
MU,2023-06-28,-1.57,-1.43,8.74
MU,2023-09-27,-1.18,-1.07,9.27
MU,2023-12-20,-1.01,-0.95,5.85
MU,2024-03-20,-0.24,0.42,273.75
MU,2024-06-26,0.53,0.62,17.27
MU,2024-09-25,1.11,1.18,5.88
MU,2024-12-18,1.77,1.79,1.36
MU,2025-03-20,1.42,1.56,9.49
MU,2025-06-25,1.59,1.91,19.75
MU,2025-09-23,2.86,3.03,5.94
MU,2025-12-17,3.96,4.78,20.58
MU,2026-03-18,9.16,12.2,33.21
NFLX,2016-01-19,,0.01,371.7
NFLX,2016-04-18,,0.01,60.86
NFLX,2016-07-18,,0.01,291.3
NFLX,2016-10-17,0.01,0.01,121.4
NFLX,2017-01-18,0.01,0.02,14.33
NFLX,2017-04-17,0.04,0.04,6.81
NFLX,2017-07-17,0.02,0.02,-3.54
NFLX,2017-10-16,0.03,0.03,-9.57
NFLX,2018-01-22,0.04,0.04,-0.77
NFLX,2018-04-16,0.06,0.06,2.19
NFLX,2018-07-16,0.08,0.09,7.17
NFLX,2018-10-16,0.07,0.09,31.38
NFLX,2019-01-17,0.02,0.03,25.16
NFLX,2019-04-16,0.06,0.08,32.2
NFLX,2019-07-17,0.06,0.06,7.49
NFLX,2019-10-16,0.1,0.15,40.55
NFLX,2020-01-21,0.05,0.13,147.1
NFLX,2020-04-21,0.16,0.16,-4.11
NFLX,2020-07-16,0.18,0.16,-12.34
NFLX,2020-10-20,0.21,0.17,-18.33
NFLX,2021-01-19,0.14,0.12,-14.55
NFLX,2021-04-20,0.3,0.38,26.4
NFLX,2021-07-20,0.32,0.3,-6.0
NFLX,2021-10-19,0.26,0.32,24.49
NFLX,2022-01-20,0.08,0.13,59.66
NFLX,2022-04-19,0.29,0.35,21.17
NFLX,2022-07-19,0.29,0.32,9.04
NFLX,2022-10-18,0.21,0.31,45.21
NFLX,2023-01-19,0.05,0.01,-75.18
NFLX,2023-04-18,0.29,0.29,0.46
NFLX,2023-07-19,0.29,0.33,15.36
NFLX,2023-10-18,0.35,0.37,6.74
NFLX,2024-01-23,0.22,0.21,-4.8
NFLX,2024-04-18,0.45,0.53,16.66
NFLX,2024-07-18,0.47,0.49,2.92
NFLX,2024-10-17,0.51,0.54,5.56
NFLX,2025-01-21,0.42,0.43,1.78
NFLX,2025-04-17,0.57,0.66,16.82
NFLX,2025-07-17,0.7,0.72,2.24
NFLX,2025-10-21,0.7,0.59,-15.79
NFLX,2026-01-20,0.55,0.56,1.43
NFLX,2026-04-16,1.25,1.23,-1.4
NVDA,2016-02-17,0.01,0.01,19.38
NVDA,2016-05-13,0.01,0.01,12.97
NVDA,2016-08-11,0.01,0.01,10.97
NVDA,2016-11-10,0.02,0.02,37.75
NVDA,2017-02-09,0.02,0.03,15.49
NVDA,2017-05-09,0.02,0.02,4.53
NVDA,2017-08-10,0.02,0.03,23.84
NVDA,2017-11-09,0.03,0.03,23.84
NVDA,2018-02-08,0.03,0.04,29.95
NVDA,2018-05-10,0.04,0.05,23.49
NVDA,2018-08-16,0.05,0.05,5.09
NVDA,2018-11-15,0.05,0.05,-4.09
NVDA,2019-02-14,0.02,0.02,6.5
NVDA,2019-05-16,0.02,0.02,8.75
NVDA,2019-08-15,0.03,0.03,8.24
NVDA,2019-11-14,0.04,0.04,13.17
NVDA,2020-02-13,0.04,0.05,12.88
NVDA,2020-05-21,0.04,0.05,6.86
NVDA,2020-08-19,0.05,0.05,10.66
NVDA,2020-11-18,0.06,0.07,14.21
NVDA,2021-02-24,0.07,0.08,10.37
NVDA,2021-05-26,0.08,0.09,11.44
NVDA,2021-08-18,0.1,0.1,2.26
NVDA,2021-11-17,0.11,0.12,5.81
NVDA,2022-02-16,0.12,0.13,7.97
NVDA,2022-05-25,0.13,0.14,4.86
NVDA,2022-08-24,0.05,0.05,-1.49
NVDA,2022-11-16,0.07,0.06,-17.32
NVDA,2023-02-22,0.08,0.09,9.45
NVDA,2023-05-24,0.09,0.11,18.8
NVDA,2023-08-23,0.21,0.27,29.35
NVDA,2023-11-21,0.34,0.4,18.73
NVDA,2024-02-21,0.46,0.52,11.4
NVDA,2024-05-22,0.56,0.61,9.74
NVDA,2024-08-28,0.64,0.68,5.66
NVDA,2024-11-20,0.75,0.81,8.52
NVDA,2025-02-26,0.85,0.89,5.25
NVDA,2025-05-28,0.81,0.76,-5.9
NVDA,2025-08-27,1.01,1.05,4.1
NVDA,2025-11-19,1.26,1.3,3.46
NVDA,2026-02-25,1.54,1.62,5.32
ORCL,2016-03-15,0.62,0.64,3.25
ORCL,2016-06-16,0.82,0.81,-0.68
ORCL,2016-09-15,0.58,0.55,-5.06
ORCL,2016-12-15,0.6,0.61,1.74
ORCL,2017-03-15,0.62,0.69,11.75
