ticker,earn_dt,next_earn,entry_dt,short_exp,long_exp,spot,strike,short_call,short_put,long_call,long_put
PDD,2022-08-29,2022-11-28,2022-08-22,2022-09-02,2022-12-16,47.93000030517578,47.5,PDD   220902C00047500,PDD   220902P00047500,PDD   221216C00047500,PDD   221216P00047500
PDD,2022-11-28,2023-03-20,2022-11-21,2022-12-02,2023-04-21,67.62000274658203,70.0,PDD   221202C00070000,PDD   221202P00070000,PDD   230421C00070000,PDD   230421P00070000
PDD,2023-03-20,2023-05-26,2023-03-13,2023-03-24,2023-06-16,91.16999816894531,90.0,PDD   230324C00090000,PDD   230324P00090000,PDD   230616C00090000,PDD   230616P00090000
PDD,2023-05-26,2023-08-29,2023-05-19,2023-06-02,2023-09-15,60.529998779296875,60.0,PDD   230602C00060000,PDD   230602P00060000,PDD   230915C00060000,PDD   230915P00060000
PDD,2023-08-29,2023-11-28,2023-08-22,2023-09-01,2023-12-15,77.48999786376953,75.0,PDD   230901C00075000,PDD   230901P00075000,PDD   231215C00075000,PDD   231215P00075000
PDD,2023-11-28,2024-03-20,2023-11-21,2023-12-01,2024-04-19,117.33999633789062,115.0,PDD   231201C00115000,PDD   231201P00115000,PDD   240419C00115000,PDD   240419P00115000
PDD,2024-03-20,2024-05-22,2024-03-13,2024-03-22,2024-06-21,122.36000061035156,120.0,PDD   240322C00120000,PDD   240322P00120000,PDD   240621C00120000,PDD   240621P00120000
PDD,2024-05-22,2024-08-26,2024-05-15,2024-05-24,2024-09-20,141.3000030517578,140.0,PDD   240524C00140000,PDD   240524P00140000,PDD   240920C00140000,PDD   240920P00140000
PDD,2024-08-26,2024-11-21,2024-08-19,2024-08-30,2024-12-20,151.11000061035156,150.0,PDD   240830C00150000,PDD   240830P00150000,PDD   241220C00150000,PDD   241220P00150000
PDD,2024-11-21,2025-03-20,2024-11-14,2024-11-22,2025-03-21,112.33000183105469,110.0,PDD   241122C00110000,PDD   241122P00110000,PDD   250321C00110000,PDD   250321P00110000
PDD,2025-03-20,2025-05-27,2025-03-13,2025-03-21,2025-06-20,118.76000213623047,120.0,PDD   250321C00120000,PDD   250321P00120000,PDD   250620C00120000,PDD   250620P00120000
PDD,2025-05-27,2025-08-25,2025-05-20,2025-05-30,2025-09-19,117.37999725341797,115.0,PDD   250530C00115000,PDD   250530P00115000,PDD   250919C00115000,PDD   250919P00115000
PDD,2025-08-25,2025-11-18,2025-08-18,2025-08-29,2025-11-21,118.33999633789062,120.0,PDD   250829C00120000,PDD   250829P00120000,PDD   251121C00120000,PDD   251121P00120000
